id,sample_accession,accession,study_accession,lineage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037491,SAMEA897795,SAMEA897795,NA,lineage1.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037492,SAMEA897791,SAMEA897791,NA,lineage3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037493,SAMEA897830,SAMEA897830,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037494,SAMEA897842,SAMEA897842,NA,lineage4.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037495,SAMEA897841,SAMEA897841,NA,lineage4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037496,SAMEA897834,SAMEA897834,NA,lineage1.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037497,SAMEA897843,SAMEA897843,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037498,SAMEA897836,SAMEA897836,NA,lineage4.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037499,SAMEA897835,SAMEA897835,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037500,SAMEA897794,SAMEA897794,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037502,SAMEA897872,SAMEA897872,NA,lineage3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037503,SAMEA897803,SAMEA897803,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037505,SAMEA897863,SAMEA897863,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037507,SAMEA897797,SAMEA897797,NA,lineage4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037508,SAMEA897851,SAMEA897851,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037509,SAMEA897852,SAMEA897852,NA,lineage4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037510,SAMEA897810,SAMEA897810,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037511,SAMEA897876,SAMEA897876,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037512,SAMEA897865,SAMEA897865,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037514,SAMEA897825,SAMEA897825,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037515,SAMEA897809,SAMEA897809,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037516,SAMEA897808,SAMEA897808,NA,lineage4.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037517,SAMEA897807,SAMEA897807,NA,lineage4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037518,SAMEA897806,SAMEA897806,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037519,SAMEA897799,SAMEA897799,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037520,SAMEA897798,SAMEA897798,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037521,SAMEA897822,SAMEA897822,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037522,SAMEA897823,SAMEA897823,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037523,SAMEA897818,SAMEA897818,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037524,SAMEA897764,SAMEA897764,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037525,SAMEA897813,SAMEA897813,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037526,SAMEA897819,SAMEA897819,NA,lineage4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037527,SAMEA897820,SAMEA897820,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037528,SAMEA897821,SAMEA897821,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037530,SAMEA897817,SAMEA897817,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037531,SAMEA897904,SAMEA897904,NA,lineage4.3.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037532,SAMEA897890,SAMEA897890,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037533,SAMEA897827,SAMEA897827,NA,lineage4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037534,SAMEA897812,SAMEA897812,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037536,SAMEA897784,SAMEA897784,NA,lineage1.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037537,SAMEA897815,SAMEA897815,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037538,SAMEA897814,SAMEA897814,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037539,SAMEA897767,SAMEA897767,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037540,SAMEA897766,SAMEA897766,NA,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037541,SAMEA897787,SAMEA897787,NA,lineage4.4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037542,SAMEA897788,SAMEA897788,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037543,SAMEA897785,SAMEA897785,NA,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037544,SAMEA897786,SAMEA897786,NA,lineage4.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037545,SAMEA897781,SAMEA897781,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037546,SAMEA897866,SAMEA897866,NA,lineage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037547,SAMEA897855,SAMEA897855,NA,lineage4.3.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037548,SAMEA897782,SAMEA897782,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037549,SAMEA897789,SAMEA897789,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037550,SAMEA897790,SAMEA897790,NA,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037551,SAMEA897871,SAMEA897871,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037552,SAMEA897870,SAMEA897870,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR037553,SAMEA897869,SAMEA897869,NA,lineage4.3.4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
